score,sentence,timestamp
0.03,The thing that makes me sad is.,1.6
0.06,Image and I broke up with my ex girlfriend and.,6.49
0.08,Becaus we cannot keep our promise anymore inside. She wants me to go to Earth praise to to stay with her. I just don't want to go to.,13.78
0.11,Uh the players because I think it's not good for my career path.,26.5
0.73,So it's kind of like.,31.47
0.19,The reason we bought guys now be cause we?,35.12
0.09,Don't like each other.,37.84
0.23,Anymore bites be cause a lot of external factors such as the things I just mentioned.,39.95
0.7,And also like her parents are very.,48.77
0.74,Proposed to our relationship.,51.69
0.87,And by the most.,54.42
0.05,"Sad things to me, it's like after we broke out.",56.71
0.81,"Every time I thought how kind of things, she liked what kind of food should I I couldn't tell.",61.93
0.92,How do you have a favorite things favor food because every time I said?,69.49
0.88,Let's go to eat something and she say OK. Let's go to do something and she will say OK but.,75.9
0.12,Very few timeless you asked me like she wants to fight this. You want to eat so the only full I know she wants to eat like?,82.83
0.89,"Anyway, so I mean at that time every time I thought about like.",97.48
0.84,But is she really like and who is she I now feel like the.,104.18
0.16,"I'm known about her so nice, the things that I'm very sad because I spent my life, 3 years with her by quite.",109.91
0.5,Not understand who she is so let's just in time in Mesa.,119.87
