score,sentence,timestamp
0.03,Sing make me angry is I feel it's not really ex teacher that.,0.05
0.81,Cooperation with,9.19
0.69,And your focus on GI's teacher.,13.87
0.75,Because recently all project.,23.03
0.28,The red the Russian a little bit change.,28.54
0.85,An I I don't feel teachers give us really fully supported. I really understand us an actress field.,32.34
0.8,"Thankful by some very rated curse. Otherwise, an it can be finished in 2 months.",45.08
0.78,"An actually Ness semester, we plan to leverage the we think we can laughing through the code. We wrote so we spend so much time last quarter.",56.19
0.5,"And but this quarter, the direction people. It is OK to us because we still family are the wrestler power. Generally, we propose the technical architecture, but later on the advice is to use glasses and iPhone. I feel do you ring know how hard of this technology and we don't have the daring our teams diversity?",71.97
0.73,"So then Reno our teens computing power. We have, we don't have how really hardware engineer like the.",102.51
0.16,You know the people who are going to want to go to cool. Colonel become this kind of engineer in our team. How can you propose that situation today to see really know how to plan the schedule.,112.78
0.04,I just feel he has very limited experience in job or they won't propose that.,129.55
0.82,Suggestion.,136.99
0.86,"Yeah, that's it.",138.55
